         10x5M-LH                 (10x5M-LH.dat)
         v2022-0915
         Simulation Date: 06/12/2024

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       11.00      0.5532      0.7207      0.0221      0.0170       1.031      30.954      25.339     769.059       3.497     112.709      14.944       93.04     352521.    0.1546
       11.46      0.5762      0.6918      0.0175      0.0146       0.888      26.663      20.111     662.446       3.012      89.453      13.770       93.16     353311.    0.1269
       11.92      0.5993      0.6413      0.0130      0.0121       0.738      22.136      14.883     549.970       2.501      66.201      12.275       93.28     354127.    0.0973
       12.38      0.6223      0.5511      0.0084      0.0095       0.579      17.386       9.674     431.964       1.964      43.028      10.157       93.41     354966.    0.0649
       12.83      0.6454      0.3710      0.0039      0.0068       0.414      12.417       4.485     308.496       1.403      19.948       6.594       93.54     355822.    0.0287
       13.29      0.6684



         PROP RPM =       2200

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0338       2.364      67.734     130.121    1763.024       7.653     578.777      33.476       95.99     357038.    0.7845
        0.48      0.0230      0.0684      0.1016      0.0342       2.392      68.530     127.873    1783.735       7.742     568.779      32.516       96.00     357289.    0.7554
        0.96      0.0461      0.1328      0.0997      0.0346       2.417      69.255     125.468    1802.619       7.824     558.079      31.570       96.00     357559.    0.7265
        1.44      0.0691      0.1934      0.0977      0.0349       2.440      69.893     122.897    1819.209       7.896     546.648      30.641       96.02     357848.    0.6979
        1.92      0.0921      0.2501      0.0955      0.0352       2.458      70.423     120.152    1832.999       7.956     534.435      29.731       96.03     358157.    0.6696
        2.40      0.1152      0.3033      0.0932      0.0354       2.472      70.824     117.219    1843.449       8.002     521.389      28.841       96.06     358487.    0.6415
        2.88      0.1382      0.3530      0.0907      0.0355       2.481      71.073     114.086    1849.942       8.030     507.453      27.972       96.09     358839.    0.6138
        3.36      0.1612      0.3994      0.0880      0.0355       2.483      71.146     110.740    1851.829       8.038     492.571      27.124       96.12     359213.    0.5864
        3.84      0.1842      0.4425      0.0852      0.0355       2.479      71.017     107.172    1848.472       8.023     476.702      26.297       96.16     359609.    0.5593
        4.32      0.2073      0.4826      0.0822      0.0353       2.467      70.665     103.380    1839.318       7.984     459.836      25.493       96.20     360028.    0.5325
        4.80      0.2303      0.5198      0.0790      0.0350       2.446      70.077      99.373    1824.003       7.917     442.012      24.711       96.25     360471.    0.5061
        5.28      0.2533      0.5541      0.0756      0.0346       2.417      69.244      95.167    1802.332       7.823     423.301      23.949       96.30     360937.    0.4800
        5.76      0.2764      0.5858      0.0722      0.0340       2.379      68.162      90.776    1774.164       7.701     403.772      23.207       96.36     361428.    0.4543
        6.24      0.2994      0.6148      0.0685      0.0334       2.333      66.825      86.216    1739.369       7.550     383.489      22.482       96.43     361943.    0.4289
        6.72      0.3224      0.6412      0.0648      0.0326       2.277      65.229      81.499    1697.809       7.369     362.506      21.772       96.50     362482.    0.4038
        7.20      0.3455      0.6649      0.0609      0.0316       2.212      63.366      76.635    1649.335       7.159     340.874      21.075       96.57     363047.    0.3790
        7.68      0.3685      0.6861      0.0569      0.0306       2.137      61.233      71.636    1593.797       6.918     318.636      20.386       96.65     363636.    0.3545
        8.16      0.3915      0.7046      0.0529      0.0294       2.053      58.822      66.510    1531.047       6.646     295.835      19.703       96.74     364252.    0.3301
        8.64      0.4145      0.7202      0.0487      0.0280       1.959      56.128      61.266    1460.945       6.341     272.513      19.021       96.83     364893.    0.3059
        9.12      0.4376      0.7327      0.0444      0.0265       1.855      53.148      55.915    1383.370       6.005     248.711      18.333       96.92     365560.    0.2816
        9.60      0.4606      0.7417      0.0401      0.0249       1.741      49.877      50.466    1298.233       5.635     224.474      17.632       97.02     366253.    0.2573
       10.08      0.4836      0.7467      0.0357      0.0231       1.617      46.314      44.931    1205.481       5.232     199.851      16.905       97.12     366973.    0.2328
       10.56      0.5067      0.7468      0.0313      0.0212       1.482      42.458      39.321    1105.112       4.797     174.900      16.138       97.23     367719.    0.2079
       11.04      0.5297      0.7405      0.0267      0.0191       1.337      38.312      33.652     997.195       4.328     149.684      15.306       97.35     368492.    0.1824
       11.52      0.5527      0.7255      0.0222      0.0169       1.183      33.882      27.941     881.897       3.828     124.282      14.370       97.47     369292.    0.1561
       12.00      0.5758      0.6975      0.0177      0.0146       1.018      29.179      22.209     759.483       3.297      98.785      13.263       97.59     370118.    0.1284
       12.47      0.5988      0.6484      0.0131      0.0121       0.845      24.217      16.477     630.322       2.736      73.290      11.857       97.72     370971.    0.0989
       12.95      0.6218      0.5604      0.0086      0.0095       0.664      19.010      10.764     494.798       2.148      47.880       9.867       97.86     371849.    0.0665
       13.43      0.6449      0.3841      0.0040      0.0068       0.473      13.562       5.075     353.006       1.532      22.574       6.521       97.99     372745.    0.0302
       13.91      0.6679



         PROP RPM =       2300

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0337       2.694      73.836     142.228    2009.197       8.342     632.630      32.107      100.36     373267.    0.7867
        0.50      0.0230      0.0684      0.1017      0.0341       2.726      74.705     139.777    2032.860       8.440     621.729      31.187      100.36     373529.    0.7575
        1.00      0.0460      0.1329      0.0997      0.0345       2.755      75.499     137.155    2054.448       8.530     610.064      30.280      100.37     373810.    0.7286
        1.50      0.0689      0.1935      0.0977      0.0348       2.781      76.196     134.353    2073.426       8.609     597.604      29.390      100.38     374112.    0.6999
        2.00      0.0919      0.2503      0.0955      0.0351       2.802      76.777     131.361    2089.226       8.674     584.293      28.518      100.40     374434.    0.6715
        2.50      0.1149      0.3035      0.0932      0.0353       2.818      77.218     128.165    2101.233       8.724     570.077      27.666      100.42     374778.    0.6435
        3.00      0.1379      0.3532      0.0907      0.0354       2.828      77.494     124.751    2108.746       8.755     554.892      26.833      100.45     375145.    0.6157
        3.50      0.1609      0.3996      0.0881      0.0354       2.831      77.578     121.106    2111.031       8.765     538.680      26.020      100.49     375534.    0.5883
        4.00      0.1838      0.4429      0.0852      0.0354       2.826      77.443     117.220    2107.355       8.749     521.393      25.229      100.53     375947.    0.5612
        4.50      0.2068      0.4830      0.0822      0.0352       2.812      77.066     113.089    2097.094       8.707     503.021      24.459      100.57     376384.    0.5344
        5.00      0.2298      0.5202      0.0791      0.0349       2.789      76.431     108.724    2079.831       8.635     483.606      23.711      100.62     376846.    0.5079
        5.51      0.2528      0.5547      0.0757      0.0345       2.756      75.531     104.142    2055.332       8.533     463.223      22.982      100.68     377331.    0.4818
        6.01      0.2757      0.5864      0.0723      0.0340       2.713      74.359      99.359    2023.443       8.401     441.948      22.272      100.74     377842.    0.4561
        6.51      0.2987      0.6155      0.0686      0.0333       2.661      72.910      94.391    1984.014       8.237     419.852      21.579      100.81     378379.    0.4307
        7.01      0.3217      0.6420      0.0649      0.0325       2.597      71.178      89.252    1936.886       8.042     396.992      20.901      100.88     378941.    0.4057
        7.51      0.3447      0.6660      0.0611      0.0316       2.524      69.157      83.953    1881.892       7.813     373.425      20.234      100.96     379529.    0.3809
        8.01      0.3677      0.6873      0.0571      0.0305       2.439      66.841      78.506    1818.859       7.552     349.197      19.577      101.04     380143.    0.3564
        8.51      0.3906      0.7059      0.0530      0.0293       2.344      64.223      72.921    1747.619       7.256     324.355      18.926      101.13     380784.    0.3320
        9.01      0.4136      0.7218      0.0489      0.0280       2.237      61.298      67.209    1668.012       6.925     298.944      18.276      101.22     381451.    0.3078
        9.51      0.4366      0.7346      0.0446      0.0265       2.119      58.060      61.378    1579.903       6.560     273.010      17.621      101.32     382146.    0.2836
       10.01      0.4596      0.7440      0.0403      0.0249       1.989      54.505      55.441    1483.183       6.158     246.600      16.954      101.42     382868.    0.2594
       10.51      0.4826      0.7495      0.0359      0.0231       1.848      50.632      49.408    1377.789       5.720     219.769      16.265      101.53     383617.    0.2349
       11.01      0.5055      0.7501      0.0315      0.0212       1.695      46.440      43.295    1263.721       5.247     192.576      15.539      101.65     384395.    0.2101
       11.51      0.5285      0.7446      0.0270      0.0192       1.530      41.932      37.116    1141.052       4.737     165.093      14.754      101.77     385200.    0.1847
       12.01      0.5515      0.7305      0.0225      0.0170       1.354      37.115      30.891    1009.962       4.193     137.403      13.873      101.89     386032.    0.1584
       12.51      0.5745      0.7041      0.0179      0.0146       1.168      31.999      24.641     870.749       3.615     109.605      12.836      102.02     386893.    0.1309
       13.01      0.5975      0.6574      0.0134      0.0122       0.971      26.600      18.391     723.826       3.005      81.803      11.524      102.16     387781.    0.1015
       13.51      0.6204      0.5736      0.0088      0.0096       0.764      20.933      12.160     569.635       2.365      54.089       9.683      102.29     388696.    0.0694
       14.01      0.6434      0.4065      0.0043      0.0069       0.548      15.006       5.956     408.330       1.695      26.494       6.616      102.44     389630.    0.0332
       14.51      0.6664



         PROP RPM =       2400

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0337       3.054      80.197     154.874    2277.176       9.061     688.878      30.848      104.72     389496.    0.7887
        0.52      0.0229      0.0685      0.1017      0.0341       3.090      81.144     152.211    2304.056       9.168     677.036      29.964      104.72     389768.    0.7595
        1.04      0.0459      0.1329      0.0998      0.0344       3.123      82.008     149.363    2328.595       9.265     664.367      29.093      104.73     390061.    0.7305
        1.56      0.0688      0.1935      0.0977      0.0347       3.152      82.768     146.321    2350.179       9.351     650.834      28.239      104.74     390375.    0.7018
        2.08      0.0917      0.2504      0.0956      0.0350       3.176      83.402     143.071    2368.179       9.423     636.380      27.402      104.76     390711.    0.6734
        2.61      0.1147      0.3037      0.0932      0.0352       3.194      83.884     139.601    2381.885       9.477     620.945      26.583      104.79     391069.    0.6453
        3.13      0.1376      0.3534      0.0908      0.0353       3.206      84.189     135.895    2390.521       9.512     604.460      25.784      104.82     391450.    0.6175
        3.65      0.1605      0.3999      0.0881      0.0354       3.209      84.285     131.938    2393.251       9.522     586.862      25.005      104.86     391856.    0.5901
        4.17      0.1834      0.4432      0.0853      0.0353       3.204      84.144     127.720    2389.254       9.507     568.100      24.246      104.90     392285.    0.5630
        4.69      0.2064      0.4834      0.0823      0.0351       3.189      83.741     123.237    2377.809       9.461     548.160      23.508      104.95     392740.    0.5362
        5.21      0.2293      0.5207      0.0791      0.0349       3.163      83.059     118.500    2358.445       9.384     527.088      22.790      105.00     393220.    0.5097
        5.73      0.2522      0.5552      0.0758      0.0344       3.126      82.089     113.526    2330.898       9.274     504.965      22.091      105.06     393725.    0.4836
        6.25      0.2752      0.5870      0.0724      0.0339       3.078      80.824     108.335    2294.986       9.131     481.873      21.411      105.12     394256.    0.4579
        6.77      0.2981      0.6162      0.0688      0.0333       3.018      79.259     102.943    2250.543       8.955     457.889      20.747      105.19     394814.    0.4325
        7.30      0.3210      0.6428      0.0650      0.0325       2.947      77.387      97.364    2197.388       8.743     433.076      20.097      105.27     395398.    0.4074
        7.82      0.3440      0.6669      0.0612      0.0316       2.864      75.201      91.613    2135.331       8.496     407.493      19.460      105.35     396010.    0.3827
        8.34      0.3669      0.6884      0.0572      0.0305       2.768      72.696      85.700    2064.177       8.213     381.193      18.831      105.43     396648.    0.3582
        8.86      0.3898      0.7072      0.0532      0.0293       2.660      69.863      79.637    1983.736       7.893     354.226      18.209      105.52     397315.    0.3338
        9.38      0.4127      0.7233      0.0490      0.0280       2.540      66.696      73.435    1893.826       7.535     326.640      17.588      105.62     398009.    0.3096
        9.90      0.4357      0.7363      0.0448      0.0265       2.406      63.191      67.105    1794.289       7.139     298.485      16.963      105.72     398731.    0.2855
       10.42      0.4586      0.7461      0.0405      0.0249       2.260      59.342      60.659    1685.008       6.704     269.813      16.328      105.83     399482.    0.2613
       10.94      0.4815      0.7520      0.0361      0.0231       2.100      55.147      54.110    1565.904       6.231     240.682      15.673      105.94     400261.    0.2369
       11.47      0.5045      0.7531      0.0317      0.0212       1.927      50.607      47.472    1436.973       5.718     211.156      14.984      106.06     401069.    0.2121
       11.99      0.5274      0.7483      0.0272      0.0192       1.741      45.723      40.762    1298.297       5.166     181.311      14.241      106.19     401905.    0.1868
       12.51      0.5503      0.7353      0.0227      0.0170       1.542      40.503      34.001    1150.067       4.576     151.238      13.410      106.31     402771.    0.1606
       13.03      0.5733      0.7102      0.0182      0.0147       1.331      34.958      27.212     992.619       3.950     121.041      12.435      106.45     403666.    0.1333
       13.55      0.5962      0.6658      0.0136      0.0122       1.108      29.104      20.422     826.411       3.288      90.835      11.208      106.59     404589.    0.1041
       14.07      0.6191      0.5859      0.0091      0.0096       0.874      22.960      13.651     651.946       2.594      60.721       9.497      106.73     405540.    0.0721
       14.59      0.6420      0.4271      0.0046      0.0069       0.630      16.533       6.910     469.442       1.868      30.737       6.677      106.88     406512.    0.0361
       15.11      0.6650     -0.0127     -0.0001      0.0040       0.361       9.491      -0.114     269.506       1.072      -0.507      -0.192      107.04     407274.    0.0000



         PROP RPM =       2500

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1034      0.0336       3.444      86.817     168.058    2567.877       9.809     747.523      29.685      109.08     405725.    0.7906
        0.54      0.0230      0.0687      0.1017      0.0340       3.484      87.847     165.167    2598.342       9.925     734.663      28.832      109.09     406009.    0.7613
        1.09      0.0459      0.1334      0.0998      0.0343       3.522      88.787     162.074    2626.150      10.031     720.904      27.992      109.09     406314.    0.7322
        1.63      0.0689      0.1941      0.0977      0.0347       3.555      89.615     158.769    2650.615      10.125     706.205      27.168      109.11     406642.    0.7033
        2.17      0.0918      0.2512      0.0956      0.0349       3.582      90.304     155.240    2671.020      10.203     690.506      26.361      109.13     406992.    0.6748
        2.72      0.1148      0.3046      0.0932      0.0351       3.603      90.830     151.470    2686.565      10.262     673.738      25.572      109.16     407365.    0.6466
        3.26      0.1377      0.3545      0.0908      0.0353       3.616      91.161     147.444    2696.357      10.299     655.830      24.802      109.19     407763.    0.6188
        3.80      0.1607      0.4010      0.0881      0.0353       3.620      91.266     143.145    2699.461      10.311     636.711      24.052      109.23     408186.    0.5912
        4.35      0.1836      0.4444      0.0853      0.0352       3.614      91.113     138.563    2694.936      10.294     616.326      23.321      109.27     408634.    0.5640
        4.89      0.2066      0.4847      0.0823      0.0351       3.597      90.675     133.692    2681.970      10.244     594.661      22.610      109.32     409108.    0.5371
        5.43      0.2295      0.5221      0.0791      0.0348       3.567      89.933     128.544    2660.031      10.161     571.766      21.918      109.37     409608.    0.5106
        5.98      0.2525      0.5567      0.0758      0.0344       3.525      88.878     123.141    2628.822      10.041     547.729      21.246      109.43     410136.    0.4844
        6.52      0.2754      0.5886      0.0723      0.0338       3.471      87.502     117.500    2588.131       9.886     522.640      20.592      109.50     410690.    0.4586
        7.06      0.2984      0.6179      0.0687      0.0332       3.403      85.799     111.642    2537.772       9.694     496.582      19.953      109.57     411272.    0.4332
        7.61      0.3213      0.6446      0.0650      0.0324       3.322      83.763     105.581    2477.537       9.463     469.624      19.329      109.65     411881.    0.4080
        8.15      0.3443      0.6687      0.0611      0.0315       3.228      81.385      99.332    2407.212       9.195     441.829      18.716      109.74     412519.    0.3832
        8.69      0.3672      0.6903      0.0572      0.0304       3.120      78.659      92.908    2326.571       8.887     413.256      18.113      109.83     413185.    0.3587
        9.24      0.3902      0.7093      0.0531      0.0292       2.998      75.577      86.322    2235.402       8.539     383.959      17.515      109.92     413881.    0.3343
        9.78      0.4131      0.7254      0.0490      0.0279       2.861      72.131      79.584    2133.497       8.149     353.991      16.919      110.02     414605.    0.3101
       10.32      0.4361      0.7386      0.0448      0.0264       2.710      68.317      72.708    2020.680       7.718     323.405      16.320      110.13     415358.    0.2859
       10.87      0.4590      0.7485      0.0404      0.0248       2.544      64.129      65.706    1896.814       7.245     292.258      15.712      110.24     416141.    0.2617
       11.41      0.4820      0.7545      0.0361      0.0230       2.363      59.565      58.591    1761.814       6.730     260.613      15.084      110.36     416954.    0.2372
       11.95      0.5049      0.7559      0.0316      0.0211       2.167      54.624      51.381    1615.677       6.171     228.541      14.424      110.48     417797.    0.2124
       12.50      0.5279      0.7512      0.0271      0.0191       1.956      49.310      44.093    1458.496       5.571     196.125      13.712      110.61     418670.    0.1871
       13.04      0.5508      0.7384      0.0226      0.0169       1.731      43.630      36.750    1290.492       4.929     163.463      12.916      110.75     419573.    0.1609
       13.58      0.5738      0.7135      0.0181      0.0145       1.491      37.597      29.377    1112.049       4.248     130.670      11.982      110.89     420507.    0.1334
       14.13      0.5967      0.6691      0.0135      0.0121       1.239      31.229      22.003     923.690       3.528      97.869      10.804      111.03     421470.    0.1041
       14.67      0.6197      0.5887      0.0090      0.0095       0.974      24.545      14.652     725.983       2.773      65.171       9.154      111.18     422462.    0.0720
       15.21      0.6426      0.4273      0.0045      0.0068       0.696      17.552       7.332     519.157       1.983      32.614       6.406      111.34     423476.    0.0356
       15.76      0.6656     -0.0521     -0.0003      0.0037       0.385       9.695      -0.477     286.753       1.095      -2.123      -0.755      111.50     424082.    0.0000



         PROP RPM =       2600

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1035      0.0335       3.865      93.697     181.782    2882.213      10.586     808.565      28.607      113.45     421954.    0.7924
        0.57      0.0230      0.0688      0.1017      0.0339       3.911      94.813     178.654    2916.544      10.712     794.654      27.784      113.45     422250.    0.7630
        1.13      0.0459      0.1337      0.0998      0.0343       3.953      95.832     175.308    2947.886      10.827     779.770      26.973      113.46     422567.    0.7337
        1.70      0.0689      0.1946      0.0977      0.0346       3.990      96.729     171.733    2975.474      10.928     763.870      26.178      113.47     422908.    0.7048
        2.26      0.0918      0.2517      0.0956      0.0349       4.021      97.477     167.915    2998.486      11.013     746.888      25.400      113.49     423272.    0.6762
        2.83      0.1148      0.3052      0.0932      0.0351       4.045      98.047     163.838    3016.026      11.077     728.750      24.639      113.52     423660.    0.6479
        3.39      0.1377      0.3553      0.0908      0.0352       4.059      98.407     159.482    3027.099      11.118     709.377      23.896      113.56     424074.    0.6200
        3.96      0.1607      0.4019      0.0881      0.0352       4.064      98.522     154.832    3030.641      11.131     688.693      23.172      113.59     424514.    0.5924
        4.52      0.1836      0.4454      0.0853      0.0352       4.057      98.358     149.874    3025.590      11.112     666.640      22.468      113.64     424980.    0.5651
        5.09      0.2066      0.4857      0.0823      0.0350       4.038      97.885     144.605    3011.047      11.059     643.203      21.783      113.69     425473.    0.5382
        5.65      0.2296      0.5232      0.0791      0.0347       4.005      97.084     139.036    2986.398      10.968     618.434      21.117      113.75     425994.    0.5116
        6.22      0.2525      0.5579      0.0758      0.0343       3.958      95.943     133.190    2951.311      10.840     592.429      20.469      113.81     426542.    0.4853
        6.78      0.2755      0.5899      0.0723      0.0338       3.896      94.455     127.088    2905.551      10.672     565.288      19.839      113.88     427119.    0.4595
        7.35      0.2984      0.6192      0.0687      0.0331       3.820      92.614     120.750    2848.901      10.463     537.096      19.224      113.96     427724.    0.4340
        7.91      0.3214      0.6460      0.0650      0.0323       3.730      90.411     114.193    2781.132      10.215     507.932      18.624      114.04     428358.    0.4089
        8.48      0.3443      0.6703      0.0611      0.0314       3.623      87.838     107.433    2702.000       9.924     477.863      18.034      114.13     429022.    0.3840
        9.04      0.3673      0.6919      0.0572      0.0304       3.502      84.888     100.484    2611.249       9.591     446.952      17.454      114.22     429715.    0.3595
        9.61      0.3902      0.7110      0.0531      0.0292       3.364      81.552      93.359    2508.638       9.214     415.259      16.880      114.32     430438.    0.3351
       10.17      0.4132      0.7273      0.0490      0.0278       3.210      77.824      86.070    2393.941       8.792     382.839      16.307      114.42     431191.    0.3108
       10.74      0.4361      0.7406      0.0447      0.0264       3.040      73.695      78.631    2266.949       8.326     349.751      15.732      114.53     431975.    0.2866
       11.30      0.4591      0.7507      0.0404      0.0247       2.853      69.163      71.056    2127.515       7.814     316.058      15.149      114.65     432790.    0.2624
       11.87      0.4821      0.7569      0.0361      0.0230       2.649      64.222      63.360    1975.538       7.256     281.825      14.547      114.77     433636.    0.2379
       12.43      0.5050      0.7585      0.0316      0.0211       2.429      58.874      55.560    1811.018       6.652     247.132      13.915      114.90     434513.    0.2131
       13.00      0.5280      0.7542      0.0271      0.0190       2.191      53.121      47.677    1634.059       6.002     212.066      13.234      115.04     435421.    0.1877
       13.56      0.5509      0.7417      0.0226      0.0168       1.938      46.972      39.734    1444.914       5.307     176.736      12.473      115.18     436360.    0.1615
       14.13      0.5739      0.7173      0.0181      0.0145       1.668      40.441      31.759    1244.010       4.569     141.264      11.579      115.32     437332.    0.1341
       14.69      0.5968      0.6734      0.0135      0.0120       1.384      33.547      23.783    1031.941       3.790     105.785      10.453      115.48     438334.    0.1047
       15.26      0.6198      0.5935      0.0090      0.0094       1.085      26.311      15.831     809.346       2.973      70.418       8.872      115.63     439366.    0.0725
       15.83      0.6427      0.4320      0.0045      0.0067       0.773      18.740       7.915     576.477       2.117      35.204       6.227      115.80     440420.    0.0360
       16.39      0.6657     -0.0645     -0.0004      0.0036       0.418      10.140      -0.617     311.929       1.146      -2.745      -0.897      115.97     440932.    0.0000



         PROP RPM =       2700

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1035      0.0334       4.320     100.835     196.044    3221.101      11.392     872.003      27.605      117.81     438183.    0.7941
        0.59      0.0230      0.0690      0.1017      0.0338       4.371     102.041     192.671    3259.615      11.529     856.999      26.810      117.81     438490.    0.7646
        1.17      0.0459      0.1340      0.0998      0.0342       4.418     103.142     189.062    3294.790      11.653     840.946      26.027      117.82     438820.    0.7352
        1.76      0.0689      0.1950      0.0977      0.0345       4.460     104.111     185.206    3325.741      11.762     823.796      25.259      117.84     439173.    0.7062
        2.35      0.0918      0.2523      0.0956      0.0348       4.495     104.920     181.088    3351.579      11.854     805.478      24.507      117.86     439552.    0.6775
        2.94      0.1148      0.3059      0.0932      0.0350       4.521     105.537     176.689    3371.287      11.923     785.913      23.772      117.89     439955.    0.6492
        3.52      0.1378      0.3560      0.0908      0.0351       4.538     105.927     171.991    3383.738      11.968     765.016      23.054      117.92     440385.    0.6212
        4.11      0.1607      0.4027      0.0881      0.0352       4.543     106.052     166.975    3387.750      11.982     742.704      22.355      117.96     440842.    0.5935
        4.70      0.1837      0.4463      0.0853      0.0351       4.536     105.876     161.627    3382.138      11.962     718.915      21.675      118.01     441326.    0.5661
        5.28      0.2066      0.4867      0.0823      0.0349       4.514     105.368     155.942    3365.881      11.904     693.631      21.014      118.06     441839.    0.5391
        5.87      0.2296      0.5243      0.0791      0.0347       4.477     104.504     149.935    3338.298      11.807     666.912      20.371      118.12     442379.    0.5125
        6.46      0.2526      0.5590      0.0758      0.0342       4.424     103.274     143.629    3299.014      11.668     638.860      19.747      118.19     442949.    0.4862
        7.04      0.2755      0.5911      0.0723      0.0337       4.355     101.670     137.046    3247.769      11.487     609.581      19.139      118.26     443548.    0.4603
        7.63      0.2985      0.6205      0.0687      0.0331       4.270      99.684     130.209    3184.312      11.262     579.170      18.547      118.34     444177.    0.4348
        8.22      0.3214      0.6474      0.0650      0.0323       4.168      97.307     123.136    3108.386      10.994     547.709      17.968      118.42     444836.    0.4096
        8.81      0.3444      0.6717      0.0611      0.0313       4.050      94.531     115.844    3019.715      10.680     515.273      17.400      118.52     445525.    0.3848
        9.39      0.3674      0.6935      0.0572      0.0303       3.913      91.348     108.347    2918.023      10.320     481.930      16.841      118.61     446245.    0.3602
        9.98      0.3903      0.7127      0.0531      0.0291       3.759      87.748     100.661    2803.030       9.914     447.741      16.288      118.72     446996.    0.3358
       10.57      0.4133      0.7291      0.0490      0.0278       3.587      83.724      92.799    2674.479       9.459     412.770      15.738      118.82     447779.    0.3115
       11.15      0.4363      0.7426      0.0447      0.0263       3.396      79.268      84.775    2532.145       8.956     377.079      15.185      118.94     448593.    0.2873
       11.74      0.4592      0.7528      0.0404      0.0247       3.186      74.375      76.604    2375.849       8.403     340.734      14.624      119.06     449440.    0.2630
       12.33      0.4822      0.7592      0.0360      0.0229       2.958      69.042      68.303    2205.497       7.800     303.810      14.047      119.19     450318.    0.2385
       12.92      0.5051      0.7610      0.0316      0.0210       2.710      63.269      59.889    2021.073       7.148     266.387      13.440      119.32     451229.    0.2137
       13.50      0.5281      0.7569      0.0271      0.0189       2.444      57.059      51.386    1822.704       6.446     228.565      12.787      119.46     452173.    0.1883
       14.09      0.5511      0.7448      0.0226      0.0167       2.160      50.421      42.819    1610.671       5.697     190.458      12.058      119.61     453149.    0.1621
       14.68      0.5740      0.7208      0.0181      0.0144       1.858      43.371      34.218    1385.454       4.900     152.200      11.202      119.76     454158.    0.1346
       15.26      0.5970      0.6774      0.0135      0.0119       1.539      35.929      25.615    1147.720       4.059     113.935      10.123      119.92     455199.    0.1053
       15.85      0.6199      0.5979      0.0090      0.0093       1.204      28.117      17.040     898.187       3.177      75.792       8.605      120.08     456271.    0.0730
       16.44      0.6429      0.4361      0.0045      0.0066       0.854      19.945       8.501     637.130       2.253      37.813       6.052      120.25     457367.    0.0363
       17.02      0.6659



         PROP RPM =       2800

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1035      0.0334       4.808     108.233     210.845    3585.458      12.228     937.838      26.672      122.17     454412.    0.7957
        0.61      0.0230      0.0691      0.1017      0.0338       4.866     109.531     207.217    3628.479      12.375     921.701      25.903      122.18     454730.    0.7661
        1.22      0.0459      0.1342      0.0998      0.0341       4.919     110.718     203.335    3667.776      12.509     904.434      25.145      122.19     455073.    0.7367
        1.83      0.0689      0.1954      0.0977      0.0345       4.965     111.762     199.188    3702.371      12.627     885.988      24.402      122.20     455439.    0.7076
