         10x5M-LH                 (10x5M-LH.dat)
         v2022-0915
         Simulation Date: 06/12/2024

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        0.65      0.1368      0.3085      0.0904      0.0401       0.033       4.148       5.876      24.538       0.469      26.137     108.618       21.84      81550.    0.5409
        0.76      0.1596      0.3495      0.0878      0.0401       0.033       4.148       5.705      24.536       0.469      25.376     105.464       21.84      81633.    0.5175
        0.86      0.1824      0.3876      0.0850      0.0400       0.033       4.137       5.523      24.475       0.467      24.566     102.350       21.85      81722.    0.4942
        0.97      0.2052      0.4229      0.0820      0.0398       0.033       4.116       5.329      24.348       0.465      23.705      99.276       21.86      81816.    0.4709
        1.08      0.2280      0.4556      0.0789      0.0395       0.032       4.083       5.125      24.153       0.461      22.795      96.240       21.87      81915.    0.4476
        1.19      0.2509      0.4855      0.0756      0.0390       0.032       4.038       4.910      23.886       0.456      21.840      93.237       21.89      82020.    0.4245
        1.30      0.2737      0.5127      0.0721      0.0385       0.032       3.981       4.686      23.548       0.450      20.843      90.260       21.90      82129.    0.4014
        1.40      0.2965      0.5372      0.0685      0.0378       0.031       3.911       4.453      23.137       0.442      19.808      87.300       21.91      82245.    0.3785
        1.51      0.3193      0.5590      0.0648      0.0370       0.030       3.829       4.212      22.652       0.433      18.736      84.346       21.93      82365.    0.3557
        1.62      0.3421      0.5779      0.0610      0.0361       0.030       3.734       3.964      22.091       0.422      17.631      81.385       21.95      82491.    0.3329
        1.73      0.3649      0.5938      0.0571      0.0351       0.029       3.627       3.708      21.454       0.410      16.495      78.399       21.96      82623.    0.3102
        1.84      0.3877      0.6065      0.0530      0.0339       0.028       3.506       3.446      20.739       0.396      15.329      75.370       21.98      82761.    0.2875
        1.94      0.4105      0.6158      0.0489      0.0326       0.027       3.372       3.178      19.945       0.381      14.136      72.272       22.00      82904.    0.2647
        2.05      0.4333      0.6212      0.0447      0.0312       0.026       3.224       2.904      19.070       0.364      12.917      69.073       22.02      83053.    0.2418
        2.16      0.4561      0.6223      0.0404      0.0296       0.024       3.062       2.625      18.113       0.346      11.676      65.732       22.05      83208.    0.2188
        2.27      0.4789      0.6182      0.0360      0.0279       0.023       2.886       2.341      17.074       0.326      10.413      62.192       22.07      83369.    0.1955
        2.38      0.5017      0.6079      0.0316      0.0261       0.021       2.697       2.053      15.953       0.305       9.133      58.377       22.09      83535.    0.1719
        2.48      0.5245      0.5899      0.0271      0.0241       0.020       2.493       1.762      14.750       0.282       7.837      54.182       22.12      83708.    0.1478
        2.59      0.5473      0.5618      0.0226      0.0220       0.018       2.277       1.468      13.467       0.257       6.531      49.449       22.15      83887.    0.1231
        2.70      0.5701      0.5200      0.0180      0.0198       0.016       2.047       1.173      12.107       0.231       5.217      43.943       22.17      84071.    0.0978
        2.81      0.5929      0.4588      0.0135      0.0174       0.014       1.804       0.877      10.673       0.204       3.902      37.281       22.20      84262.    0.0717
        2.92      0.6157      0.3681      0.0090      0.0150       0.012       1.550       0.582       9.169       0.175       2.589      28.797       22.23      84458.    0.0451
        3.02      0.6385      0.2280      0.0044      0.0124       0.010       1.285       0.288       7.599       0.145       1.282      17.202       22.26      84659.    0.0190
        3.13      0.6613     -0.0095     -0.0001      0.0097       0.008       1.003      -0.009       5.934       0.113      -0.040      -0.695       22.29      84850.    0.0000



         PROP RPM =        600

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.1031      0.0379       0.054       5.638       9.652      40.020       0.637      42.933     109.395       26.18      97374.    0.6983
        0.13      0.0228      0.0606      0.1014      0.0382       0.054       5.691       9.486      40.399       0.643      42.192     106.498       26.18      97442.    0.6739
        0.26      0.0457      0.1179      0.0995      0.0385       0.055       5.739       9.307      40.740       0.648      41.399     103.621       26.18      97515.    0.6495
        0.39      0.0685      0.1720      0.0974      0.0388       0.055       5.781       9.117      41.036       0.653      40.553     100.773       26.19      97593.    0.6251
        0.52      0.0914      0.2229      0.0953      0.0390       0.055       5.814       8.914      41.275       0.657      39.650      97.957       26.19      97676.    0.6009
        0.65      0.1142      0.2707      0.0929      0.0392       0.056       5.839       8.697      41.448       0.660      38.686      95.177       26.20      97765.    0.5767
        0.78      0.1370      0.3155      0.0905      0.0393       0.056       5.852       8.466      41.543       0.661      37.658      92.435       26.20      97860.    0.5526
        0.91      0.1599      0.3573      0.0878      0.0393       0.056       5.853       8.219      41.547       0.661      36.560      89.732       26.21      97961.    0.5285
        1.04      0.1827      0.3963      0.0850      0.0392       0.056       5.839       7.957      41.448       0.660      35.391      87.070       26.22      98068.    0.5046
        1.17      0.2055      0.4324      0.0820      0.0390       0.055       5.809       7.677      41.235       0.656      34.149      84.448       26.24      98181.    0.4807
        1.30      0.2284      0.4657      0.0789      0.0387       0.055       5.762       7.382      40.903       0.651      32.837      81.864       26.25      98300.    0.4570
        1.43      0.2512      0.4963      0.0756      0.0383       0.054       5.698       7.073      40.446       0.644      31.460      79.315       26.26      98426.    0.4334
        1.56      0.2741      0.5242      0.0721      0.0377       0.053       5.616       6.750      39.865       0.634      30.022      76.794       26.28      98558.    0.4099
        1.69      0.2969      0.5494      0.0685      0.0370       0.053       5.516       6.414      39.156       0.623      28.528      74.295       26.30      98696.    0.3866
        1.82      0.3197      0.5719      0.0648      0.0362       0.051       5.398       6.066      38.318       0.610      26.983      71.807       26.32      98841.    0.3634
        1.95      0.3426      0.5915      0.0610      0.0353       0.050       5.261       5.708      37.348       0.594      25.389      69.320       26.34      98993.    0.3403
        2.08      0.3654      0.6082      0.0571      0.0343       0.049       5.106       5.339      36.244       0.577      23.750      66.821       26.36      99152.    0.3172
        2.21      0.3883      0.6218      0.0530      0.0331       0.047       4.931       4.962      35.002       0.557      22.069      64.292       26.38      99317.    0.2942
        2.34      0.4111      0.6319      0.0489      0.0318       0.045       4.736       4.575      33.622       0.535      20.348      61.714       26.40      99490.    0.2712
        2.47      0.4339      0.6383      0.0447      0.0304       0.043       4.522       4.180      32.101       0.511      18.591      59.058       26.43      99669.    0.2481
        2.60      0.4568      0.6405      0.0404      0.0288       0.041       4.288       3.777      30.436       0.484      16.801      56.291       26.46      99855.    0.2248
        2.73      0.4796      0.6375      0.0360      0.0271       0.038       4.033       3.368      28.627       0.456      14.982      53.366       26.48     100049.    0.2012
        2.85      0.5024      0.6285      0.0316      0.0252       0.036       3.758       2.953      26.674       0.425      13.136      50.218       26.51     100249.    0.1773
        2.98      0.5253      0.6118      0.0271      0.0232       0.033       3.462       2.534      24.578       0.391      11.270      46.756       26.54     100457.    0.1529
        3.11      0.5481      0.5850      0.0226      0.0211       0.030       3.147       2.110      22.342       0.356       9.387      42.845       26.58     100672.    0.1279
        3.24      0.5710      0.5443      0.0180      0.0189       0.027       2.813       1.685      19.970       0.318       7.495      38.274       26.61     100894.    0.1021
        3.37      0.5938      0.4836      0.0135      0.0165       0.023       2.461       1.259      17.468       0.278       5.601      32.698       26.64     101123.    0.0754
        3.50      0.6166      0.3916      0.0089      0.0140       0.020       2.091       0.834      14.846       0.236       3.712      25.494       26.68     101359.    0.0478
        3.63      0.6395      0.2454      0.0044      0.0114       0.016       1.705       0.411      12.105       0.193       1.829      15.409       26.72     101601.    0.0203
        3.76      0.6623     -0.0150     -0.0002      0.0087       0.012       1.294      -0.018       9.188       0.146      -0.082      -0.907       26.76     101826.    0.0000



         PROP RPM =        700

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
